clueweb12-0000tw-00-00000	Ocular Professor Twits	<http://www.wikidata.org/entity/Q1217792>
clueweb12-0000tw-00-00000	Add	<http://www.wikidata.org/entity/Q227648>
clueweb12-0000tw-00-00000	Tunis	<http://www.wikidata.org/entity/Q21556468>
clueweb12-0000tw-00-00001	Luke Morton	<http://www.wikidata.org/entity/Q64961931>
clueweb12-0000tw-00-00001	Tags	<http://www.wikidata.org/entity/Q18615090>
clueweb12-0000tw-00-00001	Flash Player	<http://www.wikidata.org/entity/Q857177>
clueweb12-0000tw-00-00001	Le Canigou	<http://www.wikidata.org/entity/Q77477352>
clueweb12-0000tw-00-00002	Tunisia	<http://www.wikidata.org/entity/Q17671157>
clueweb12-0000tw-00-00003	News	<http://www.wikidata.org/entity/Q80452498>
clueweb12-0000tw-00-00006	Online Business	<http://www.wikidata.org/entity/Q5001816>
clueweb12-0000tw-00-00006	Online Quality Content	<http://www.wikidata.org/entity/Q51314125>
clueweb12-0000tw-00-00007	Did Collette	<http://www.wikidata.org/entity/Q21492941>
clueweb12-0000tw-00-00007	Noel Subscribe	<http://www.wikidata.org/entity/Q7046798>
clueweb12-0000tw-00-00007	Frank Foundations	<http://www.wikidata.org/entity/Q1421054>
clueweb12-0000tw-00-00007	Maggie	<http://www.wikidata.org/entity/Q1932553>
clueweb12-0000tw-00-00007	HTML Whats	<http://www.wikidata.org/entity/Q12314924>
clueweb12-0000tw-00-00007	Savior	<http://www.wikidata.org/entity/Q14699468>
clueweb12-0000tw-00-00007	Christ	<http://www.wikidata.org/entity/Q28113640>
clueweb12-0000tw-00-00007	Elegant	<http://www.wikidata.org/entity/Q1326310>
clueweb12-0000tw-00-00007	Pray	<http://www.wikidata.org/entity/Q18150>
clueweb12-0000tw-00-00007	Sitemeter Let	<http://www.wikidata.org/entity/Q6532903>
clueweb12-0000tw-00-00007	Normally	<http://www.wikidata.org/entity/P3438>
clueweb12-0000tw-00-00008	WordPress Gradually	<http://www.wikidata.org/entity/Q13166>
clueweb12-0000tw-00-00008	Fade	<http://www.wikidata.org/entity/Q50845837>
